Organization,Locality's Priority #,Project Name/Description,Project Start Location Latitude,Project Start Location Longitude,Project End Location Latitude,Project End Location Longitude,What Problem Does This Project Solve?,Have any Studies or PE work been undertaken?,Has elected body formally endorsed project?,VTRANS Need Identified,Smart Scale,Transportation Alternatives (TA),HSIP,RSTP/STBG,FLAP,ARC,SGR - Primary Extension Paving,SGR - Local Bridges,Revenue Sharing,Economic Development Access (EDA),Recreational Access ,Airport Access,,District comments/questions
Franklin County,16,Wirtz Road (Rte 697)/Route 122,37.08959,-79.82476,37.09061,-79.82378,Safety Issue,WPPDC RLRTP,No,Safety ,x,,?,,,,,,x,,,,,Consider SSYP?
Franklin County,17,Bluewater Dr (Rte 942)/Route 122,37.08027,-79.66205,37.07089,-79.66079,Safety and sight distance issue,WPPDC RLRTP,No,No,,,?,,,,,,x,,,,,Consider SSYP?
Franklin County,18,Six Mile Post/Scuffling Hill (Rte 640 )/Route 40,36.98268,-79.92038,36.98434,-79.92892,Safety Issue,WPPDC RLRTP,No,Safety need,x,,?,,,,,,x,,,,,Scope?
Franklin County,19,Segment/View Ln-Rte 1220 to Taylors-Rte 691,37.08641,-79.93029,37.08824,-79.93296,Safety Issue,WPPDC RLRTP,No,Needs Segment,x,,?,,,,,,x,,,,,Consider SSYP?
Franklin County,20,Segment/IronRidgeRt775 to WooddaleRt 1055,37.0667,-79.88807,37.03319,-79.87837,Safety Issue,WPPDC RLRTP,No,CoSS,x,,?,,,,,,x,,,,,Consider SSYP?
Franklin County,21,Segment/Rte619 from Rte1036 to Rte902,36.95384,-79.8747,36.45024,-79.86005,Safety,WPPDC RLRTP,No,No,,,?,,,,,,x,,,,,
Franklin County,22,Rte 220/Boones Mill town limits,37.12605,-79.96004,37.1104,-79.94649,Safety,WPPDC RLRTP,No,Coss,x,,,,,,,,x,,,,,Scope? will dictate funding
Franklin County,23,Rte 40/Fieldcrest (Rte 805),36.9212,-80.00962,36.92126,-80.0106,Safety,WPPDC RLRTP,No,Safety need,x,,?,,,,,,x,,,,,Scope?
Franklin County,24,Rte 122/Angle Plantation (Rte 699),37.05264,-79.84124,37.05367,-79.84084,Safety,WPPDC RLRTP,No,Safety need,x,,?,,,,,,x,,,,,Scope?
Franklin County,25,Brooks Mill (Rte 834)/Route 40,36.98994,-79.72511,36.9905,-79.7245,Safety,WPPDC RLRTP,No,No,,,?,,,,,,x,,,,,
Franklin County,26,Rte 220/Bethlehem (Rte 739),37.11441,-79.95466,37.1143,-79.95434,Safety,WPPDC RLRTP,No,Safety need,x,,?,,,,,,x,,,,,
